channel_name,followers,price,telega_link,view,male_ratio,reach_ratio,tg_link,language
Lakers🏀,"2,311",21.60,https://telega.io/channels/Lakersofficial/card,379,50%,8.1%,https://t.me/Lakersofficial,English
BBC sport Afaan oromoo,472,3.00,https://telega.io/channels/BBC_SPORT_FOOTBAALL/card,320,50%,13.8%,https://t.me/BBC_SPORT_FOOTBAALL,English
Bundesliga [ES],507,6.00,https://telega.io/channels/bundeesliga/card,192,50%,8.4%,https://telegram.me/bundeesliga,Spanish
Universo Baseball. ⚾️,593,6.00,https://telega.io/channels/universobaseball/card,206,50%,4.2%,https://telegram.me/universobaseball,Spanish
ማራኪ SPORT24'™,"4,772",2.40,https://telega.io/channels/marakisport360/card,134,75%,9.8%,https://t.me/marakisport360,Amharic
The United Stand,390,6.00,https://telega.io/channels/theunitedstand/card,229,70%,7.0%,https://telegram.me/theunitedstand,English
Liverpool fans Ethiopia,"1,346",2.40,https://telega.io/channels/livepoolfansethiopa/card,442,80%,17.8%,https://t.me/livepoolfansethiopa,English
English Premier League,"128,305",84.00,https://telega.io/channels/Premier_League_Update/card,1.2K,80%,10.0%,https://t.me/Premier_League_Update,English
PARIS SAINT GERMAIN (PSG),"20,439",9.60,https://telega.io/channels/P_S_G/card,2.2K,65%,5.3%,https://telegram.me/P_S_G,English
Uefa Conference League,"9,375",16.80,https://telega.io/channels/europa_conference/card,895,50%,6.3%,https://t.me/europa_conference,English
قناة نادي النصر السعودي | بث النصر,"3,132",19.08,https://telega.io/channels/ALNSSR_94/card,158,60%,10.1%,https://t.me/ALNSSR_94,Arabic
GOAT Fanbase 🐐,"5,912",6.00,https://telega.io/channels/Al_Nassr_Ronaldo/card,656,75%,10.3%,https://t.me/Al_Nassr_Ronaldo,English
Football Stats⚽️🔢,"7,412",14.40,https://telega.io/channels/footymadness/card,638,75%,--,https://t.me/footymadness,English
ARGENTINA FANS MESSI FANS FOOTBALL,"4,177",15.60,https://telega.io/channels/ARGENTINA_STATUS/card,369,50%,3.0%,https://t.me/ARGENTINA_STATUS,English
Football Memes™,"15,547",13.20,https://telega.io/channels/football_memees/card,504,50%,7.2%,https://t.me/football_memees,English
Al Nassr FC,"14,543",12.00,https://telega.io/channels/al_nassren/card,386,50%,11.9%,https://t.me/al_nassren,English
Man City Xtra,"15,792",12.00,https://telega.io/channels/XtraCity/card,317,50%,5.6%,https://telegram.me/XtraCity,English
Culés Hub | Barcelona,"4,380",3.60,https://telega.io/channels/+qLo2dFi2gykxNTli/card,326,90%,11.6%,https://t.me/+qLo2dFi2gykxNTli,English
THE FOOTBALL HUB ⚽️⚡,"8,030",7.20,https://telega.io/channels/The_Football_Hub/card,282,50%,4.5%,https://t.me/The_Football_Hub,English
𝐔𝐄𝐅𝐀 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒 𝐋𝐄𝐀𝐆𝐔𝐄,"5,212",8.40,https://telega.io/channels/+22Opno90OzdmYzE1/card,286,75%,12.3%,https://t.me/+22Opno90OzdmYzE1,English
Sky Basketball,"4,595",12.00,https://telega.io/channels/sky_sports_nba/card,420,50%,8.1%,https://t.me/sky_sports_nba,English
MANCHESTER UNITED🔴,"13,642",9.60,https://telega.io/channels/MyBestManUtd/card,313,95%,6.7%,https://t.me/MyBestManUtd,English
Alisha Lehmann ⚽️,"78,360",8.40,https://telega.io/channels/Alisha_Lehmann_AlishaLehmann/card,2.5K,95%,2.1%,https://t.me/Alisha_Lehmann_AlishaLehmann,English
S.S.C Napoli,"5,678",3.60,https://telega.io/channels/Napoli_SSC_Updates/card,338,85%,5.1%,https://t.me/Napoli_SSC_Updates,English
What2Bet,"9,997",12.00,https://telega.io/channels/What2Bet/card,367,50%,5.7%,https://t.me/What2Bet,English
WWE,"11,200",9.60,https://telega.io/channels/WWE_official_news/card,421,85%,11.9%,https://t.me/WWE_official_news,English
Manchester City News,359,1.20,https://telega.io/channels/ManchesterCity_fc_news/card,123,90%,16.5%,https://t.me/ManchesterCity_fc_news,English
⚡️𝙎𝙤𝙘𝙘𝙚𝙧𝙋𝙖𝙨𝙨𝙞𝙤𝙣𝙃𝙪𝙗⚡️,"29,127",38.40,https://telega.io/channels/SoccerPassionNews/card,269,85%,15.3%,https://telegram.me/SoccerPassionNews,Italian
FOOT AFRICA 🌍,"18,259",28.80,https://telega.io/channels/FootAfrica/card,264,70%,--,https://telegram.me/FootAfrica,French
Premier League🏴󠁧󠁢󠁥󠁮󠁧󠁿,"22,303",18.00,https://telega.io/channels/mybestpremierleague/card,85,95%,7.6%,https://t.me/mybestpremierleague,English
Goal,"37,998",32.40,https://telega.io/channels/goal_football_uk/card,233,50%,13.4%,https://t.me/goal_football_uk,English
Círculo de Espera,"14,436",9.60,https://telega.io/channels/CirculodeEspera/card,226,80%,11.6%,https://t.me/CirculodeEspera,Spanish
🌍 PLANETA FUTBOL⚽,"10,837",6.00,https://telega.io/channels/PlanetaFutbolCu/card,241,80%,8.7%,https://t.me/PlanetaFutbolCu,Spanish
CRICKET NEWS CONTENT,"40,835",60.00,https://telega.io/channels/wallpeditzz/card,69,80%,14.1%,https://t.me/wallpeditzz,English
Manchester United Ethiopian Fans,"6,776",2.40,https://telega.io/channels/MUN_ET_fans/card,434,50%,15.2%,https://t.me/MUN_ET_fans,English
ORO SPORT,"17,245",9.60,https://telega.io/channels/Liveisporti/card,300,65%,5.2%,https://t.me/Liveisporti,English
🦁La Premier🇬🇧,"7,990",6.00,https://telega.io/channels/lapremier/card,533,75%,9.0%,https://t.me/lapremier,Spanish
Hassas Spor,"14,118",48.00,https://telega.io/channels/HassasSport/card,101,65%,2.8%,https://t.me/HassasSport,Turkish
Eurotinos ⚽,"27,592",24.00,https://telega.io/channels/Eurotinos_LAA/card,1.7K,80%,13.9%,Https://t.me/Eurotinos_LAA,Spanish
የሊዮኔል ሜሲ ቪድዮዎች,"8,749",4.80,https://telega.io/channels/LM8_VIDEO_PAGE/card,261,50%,20.9%,https://t.me/LM8_VIDEO_PAGE,English
Burqaa Sport Group,"20,112",3.60,https://telega.io/channels/Burqaasport/card,419,75%,--,https://t.me/Burqaasport,English
🇦🇷 River Plate🔝 ⚪️🔴,"1,251",1.20,https://telega.io/channels/RiverPlate_Arg/card,178,50%,16.0%,https://t.me/RiverPlate_Arg,Spanish
Football Plug Media,"12,918",9.60,https://telega.io/channels/football_plug/card,159,85%,--,https://t.me/football_plug,English
Extra Sport ኤክስትራ ስፖርት™+ SPORT,"3,815",1.20,https://telega.io/channels/ExtraSports1/card,87,75%,13.0%,https://t.me/ExtraSports1,Amharic
Football Review Espana | Futbol Espanol,"531,755",360.00,https://telega.io/channels/+ce9OQf5cYm40NmQ5/card,1.6K,85%,6.7%,https://t.me/+ce9OQf5cYm40NmQ5,Spanish
Los Blancos Hub | Real Madrid,"5,239",3.60,https://telega.io/channels/+ZCL6z8Sb4BJjMWMy/card,380,90%,10.6%,https://t.me/+ZCL6z8Sb4BJjMWMy,English
Out of Context Football,"5,847",10.80,https://telega.io/channels/+ZBpQN_MST3s4NDhk/card,617,65%,6.0%,https://t.me/+ZBpQN_MST3s4NDhk,English
4-3-3 Sport Ethiopia,"565,554",300.00,https://telega.io/channels/SPORT_433ET/card,129,50%,14.7%,https://telegram.me/SPORT_433ET,English
Antenados - Esportes,"5,097",26.40,https://telega.io/channels/antenadosesportes/card,666,50%,13.2%,https://telegram.me/antenadosesportes,Portuguese
𝐇𝐃 𝐊𝐎𝐎𝐑𝐀⚽️,"33,770",6.00,https://telega.io/channels/+l3eBxDNkHQ1kYjA8/card,33,85%,--,https://t.me/+l3eBxDNkHQ1kYjA8,English
Champions League | OFICIAL,"1,760",7.20,https://telega.io/channels/championsleageu/card,175,50%,10.2%,https://telegram.me/championsleageu,Spanish
Sports4u.Org,"45,871",30.00,https://telega.io/channels/s4uorg/card,247,50%,4.6%,https://t.me/s4uorg,Other
Tele Spor,"12,462",36.00,https://telega.io/channels/telesportr/card,74,65%,2.6%,https://telegram.me/telesportr,Turkish
Palmeiras Arquivo 🟢⚪️,"3,050",1.20,https://telega.io/channels/palmeirasarquivo/card,94,75%,4.9%,https://t.me/palmeirasarquivo,Portuguese
ORO LIVERPOOL,"4,711",1.20,https://telega.io/channels/Oroliverpool12/card,147,60%,--,https://t.me/Oroliverpool12,English
Son Dakika Haberleri,"6,978",72.00,https://telega.io/channels/guncelhaberxxxxx/card,107,50%,--,https://t.me/guncelhaberxxxxx,English
OROMIA SPORT PRESS,"5,564",3.60,https://telega.io/channels/Oromia_sport_press/card,78,75%,3.9%,https://t.me/Oromia_sport_press,English
Goals Highlights,"5,688",36.00,https://telega.io/channels/goals_high/card,89,50%,27.4%,https://t.me/goals_high,English
Sky Sports Football ™,"25,462",12.00,https://telega.io/channels/skysportsfootballupdates/card,433,95%,7.6%,https://t.me/skysportsfootballupdates,English
MAATII ORO FOOTBALL ONE,"2,301",3.60,https://telega.io/channels/Matii_Oro_Football_One1/card,33,50%,--,https://t.me/Matii_Oro_Football_One1,English
SportPremi News,"2,154",6.00,https://telega.io/channels/SportPremi/card,21,95%,9.8%,https://t.me/SportPremi,English
habesha fitness,"1,696",6.00,https://telega.io/channels/Habeshafitnes/card,30,50%,--,https://t.me/Habeshafitnes,English
Simplifytuber,"3,429",6.00,https://telega.io/channels/simplifytuberyt/card,54,75%,4.2%,https://t.me/simplifytuberyt,English
Euro goles,"1,820",2.40,https://telega.io/channels/Eurogoles2/card,64,75%,19.3%,https://t.me/Eurogoles2,Spanish
ጎል ቪዲዮ,620,6.00,https://telega.io/channels/goalvideos123/card,22,80%,26.4%,https://t.me/goalvideos123,Amharic
BARCELONA GOALS,539,2.40,https://telega.io/channels/+aHtJYYEzyqhhZThk/card,95,95%,39.7%,https://t.me/+aHtJYYEzyqhhZThk,English
MISTER CHIP 📊,625,4.80,https://telega.io/channels/MisterChipOficial/card,170,85%,40.4%,https://t.me/MisterChipOficial,Spanish
Fanatico ⚽️ Türkiye,"14,161",120.00,https://telega.io/channels/fanatico_tr/card,274,90%,44.5%,https://t.me/fanatico_tr,Turkish
🎖Sport Parley🎖,"2,162",6.00,https://telega.io/channels/pronosticosportparley/card,28,50%,9.0%,https://t.me/pronosticosportparley,Spanish
Arsenal FC🔴,"5,623",4.80,https://telega.io/channels/Arsenal_FC_Updates/card,390,50%,5.8%,https://t.me/Arsenal_FC_Updates,English
Mulu 90,"37,384",64.80,https://telega.io/channels/Mulu_90/card,129,50%,3.4%,https://telegram.me/Mulu_90,English
MLB,0,4.80,https://telega.io/channels/juegosenvivomlb/card,787,85%,--,https://t.me/juegosenvivomlb,Spanish
Squawka Football,"10,318",10.80,https://telega.io/channels/squawka_football_news/card,1.1K,50%,13.1%,https://t.me/squawka_football_news,English
The Cricsters ✘ BigCric,"11,255",54.00,https://telega.io/channels/+5LM4v12DmJU2ZTVl/card,76,80%,15.1%,https://t.me/+5LM4v12DmJU2ZTVl,English
Premier League France 🇫🇷,"5,673",18.00,https://telega.io/channels/PremierLeague_fr/card,63,90%,8.1%,https://t.me/PremierLeague_fr,French
Cʀɪᴄ Iɴғᴏ,"4,077",48.00,https://telega.io/channels/cricinfo_24/card,93,50%,21.7%,https://t.me/cricinfo_24,English
CHAMPIONS LEAGUE FR,"3,693",18.00,https://telega.io/channels/Champions_Leaguefr/card,79,90%,17.6%,https://t.me/Champions_Leaguefr,French
Barcelona FC News,833,1.20,https://telega.io/channels/Barcelona_FCnews/card,128,80%,12.5%,https://t.me/Barcelona_FCnews,English
Faraska cad,"2,869",6.00,https://telega.io/channels/faraskacad7/card,117,75%,2.8%,https://t.me/faraskacad7,English
Borussia Dortmund ™️,"1,675",12.00,https://telega.io/channels/Dortmund_Fr/card,64,90%,13.3%,https://t.me/Dortmund_Fr,French
Chelsea F.C. News,389,1.20,https://telega.io/channels/Chelsea_fclub_news/card,114,85%,8.8%,https://t.me/Chelsea_fclub_news,English
Manchester United News,432,1.20,https://telega.io/channels/manchester_united_fc_news/card,157,90%,15.1%,https://t.me/manchester_united_fc_news,English
Barcelona ⚽️,749,6.00,https://telega.io/channels/+h6weThAAhE81NjA5/card,81,50%,16.1%,https://t.me/+h6weThAAhE81NjA5,Spanish
Real Madrid ⚽️,783,6.00,https://telega.io/channels/+cz2Vgo4Eoi9kODUx/card,116,50%,66.6%,https://t.me/+cz2Vgo4Eoi9kODUx,Spanish
Arsenal F.C. News,521,1.20,https://telega.io/channels/FCArsenal_news/card,113,90%,15.0%,https://t.me/FCArsenal_news,English
Live Cricket,684,24.00,https://telega.io/channels/cricketlivelk/card,84,50%,1.0%,https://t.me/cricketlivelk,English
⚽ All Football ⚽,0,48.00,https://telega.io/channels/Allfootball_01/card,86,50%,--,https://t.me/Allfootball_01,English
Galle Marvels (cricket ),480,4.80,https://telega.io/channels/GALLE_MARVELS/card,554,85%,11.9%,https://t.me/GALLE_MARVELS,English
Arsenal FC,"2,943",8.40,https://telega.io/channels/Arsenal_official_newss/card,73,90%,16.1%,https://t.me/Arsenal_official_newss,English
Nos Éléphants de Côte d’Ivoire 🇨🇮,"2,116",6.60,https://telega.io/channels/cotedivoire225elephant/card,84,90%,33.8%,https://t.me/cotedivoire225elephant,French
ACTU FOOT AFRIQUE 🌍,"6,542",18.00,https://telega.io/channels/Actufoot_afrique/card,97,90%,9.9%,https://t.me/Actufoot_afrique,French
INFOSPORT ™️,"3,766",12.00,https://telega.io/channels/Afrifoot/card,94,90%,13.1%,https://t.me/Afrifoot,French
Olympique de Marseille,"2,971",12.00,https://telega.io/channels/Marseille_Fr/card,85,90%,19.8%,https://t.me/Marseille_Fr,French
NapoliHub,"16,293",36.00,https://telega.io/channels/+FDfHeUVu99MxNmM0/card,247,85%,13.7%,https://t.me/+FDfHeUVu99MxNmM0,Italian
Manchester United TM,"18,778",42.00,https://telega.io/channels/Manunited_fr/card,276,90%,4.9%,https://t.me/Manunited_fr,French
SHORT LIST ↔️ Footy Transfers,"5,173",3.60,https://telega.io/channels/+ay47_ZeRfYEzNTAy/card,331,90%,9.7%,https://t.me/+ay47_ZeRfYEzNTAy,English
La Vinotinto,"27,539",32.40,https://telega.io/channels/La_Vinotinto/card,232,50%,18.9%,https://t.me/La_Vinotinto,Spanish
Premier League & Championship • English football,"5,320",3.60,https://telega.io/channels/+xAg4-2VFBd1iNmVi/card,218,90%,10.2%,https://t.me/+xAg4-2VFBd1iNmVi,English
Asante Kotoko SC,"3,371",24.00,https://telega.io/channels/Asante_Kotoko_SC/card,208,50%,--,https://t.me/Asante_Kotoko_SC,English
Ethio Zena Chelsea🔵⚽,"1,883",2.40,https://telega.io/channels/ETHIO_ZENACHELSEA/card,48,85%,23.7%,https://t.me/ETHIO_ZENACHELSEA,Amharic
Tips TPO Freemium,"2,680",48.00,https://telega.io/channels/tips_tpo/card,713,50%,8.4%,https://telegram.me/tips_tpo,Spanish
Crypto ❂,"4,712",3.24,https://telega.io/channels/blur_announcement/card,522,80%,0.5%,https://t.me/blur_announcement,English
የሙሌ ስፖርት የጎል ቻናል,"196,138",30.00,https://telega.io/channels/+7X50JYSEMG1lNTNk/card,274,50%,7.6%,https://t.me/+7X50JYSEMG1lNTNk,English
Oro SKY Ispoortii,"5,360",2.52,https://telega.io/channels/ORO_SKY_SPORT1/card,34,50%,--,https://t.me/ORO_SKY_SPORT1,English
Barça Zone,"5,054",12.00,https://telega.io/channels/BarcaZoneES/card,132,50%,21.6%,https://telegram.me/BarcaZoneES,Spanish
BT SPORT Channel,"7,440",36.00,https://telega.io/channels/bt_sportsfootball/card,547,80%,7.2%,https://t.me/bt_sportsfootball,English
Champ | Fútbol,"56,127",48.00,https://telega.io/channels/+v5UUFP50I6Y0OWUy/card,75,50%,7.7%,https://t.me/+v5UUFP50I6Y0OWUy,Spanish
Youths Sports Media,"117,900",60.00,https://telega.io/channels/Youthssportsmedia/card,469,95%,5.3%,https://t.me/Youthssportsmedia,Other
🔊ORO ARSENAL⚽,"36,851",6.00,https://telega.io/channels/Oro_arsenal/card,27,55%,12.7%,https://telegram.me/Oro_arsenal,Other
FENERBAHÇE HABERLERİ,"14,631",18.00,https://telega.io/channels/fenerbahcep/card,57,50%,10.9%,https://t.me/fenerbahcep,Turkish
Hasta Cimbomlular,"18,493",19.20,https://telega.io/channels/galatasaray8/card,46,50%,14.5%,https://t.me/galatasaray8,Turkish
Supersports,"13,668",24.00,https://telega.io/channels/+gORD2F4haPZkMTZk/card,141,70%,6.4%,https://t.me/+gORD2F4haPZkMTZk,English
BEŞİKTAŞ HABERLERİ,"8,972",10.80,https://telega.io/channels/besiktasc/card,51,50%,12.4%,https://t.me/besiktasc,Turkish
ORO MAN UNITED PICTURE'S & VIDEOS 🏟,"3,792",2.40,https://telega.io/channels/OROMANUTDPHOTOS/card,9,95%,8.2%,https://t.me/OROMANUTDPHOTOS,English
ኢትዮ Gunners™,"4,458",18.00,https://telega.io/channels/ETHIOO_GUNNER/card,37,50%,2.5%,https://t.me/ETHIOO_GUNNER,Amharic
Transfer talk,"4,444",12.00,https://telega.io/channels/selectsports/card,241,50%,--,https://t.me/selectsports,English
ጨዋታ-SPORTS Group,851,2.40,https://telega.io/channels/birrtips/card,178,50%,--,https://t.me/birrtips,English
Pillole d'Inioranza,"14,605",18.00,https://telega.io/channels/inioranza/card,691,%,13.8%,https://t.me/inioranza,Italian
cricket Finally Live,"4,350",18.00,https://telega.io/channels/finally_live_talks/card,354,50%,--,https://telegram.me/finally_live_talks,English
Champ | F1,0,24.00,https://telega.io/channels/champ_f1ES/card,49,50%,--,https://telegram.me/champ_f1ES,Spanish
Champ | Tenis,"16,382",8.40,https://telega.io/channels/champ_tenisES/card,33,50%,--,https://telegram.me/champ_tenisES,Spanish
ᴇᴛʜɪᴏ ᴀʀsͦᴇɴᴀʟ ᴛʀᴏʟʟ,"31,943",6.00,https://telega.io/channels/Ethio_Arsenal_Troll/card,85,80%,--,https://t.me/Ethio_Arsenal_Troll,Amharic
Champ | Boxeo,"9,316",6.00,https://telega.io/channels/+TmdbxYXTDV41Zjky/card,19,50%,5.5%,https://t.me/+TmdbxYXTDV41Zjky,Spanish
Champ | Football,"28,858",60.00,https://telega.io/channels/+GOB9X_J4NBNkMGMy/card,13,50%,19.9%,https://t.me/+GOB9X_J4NBNkMGMy,English
L’univers du Sport 📺 🚨,"38,498",90.00,https://telega.io/channels/+QGjzxyr9hZQ5NzQ8/card,227,80%,3.6%,https://t.me/+QGjzxyr9hZQ5NzQ8,French
የ 4-3-3 ስፖርት በ ኢትዮጵያ የመወያያ ገፅ,"36,015",60.00,https://telega.io/channels/Bisrat_Sport_Gp/card,83,50%,--,https://t.me/Bisrat_Sport_Gp,Amharic
Süper Lig Full Maçlar,"15,308",48.00,https://telega.io/channels/+rtoUbEACVBhkODY0/card,29,85%,16.2%,https://t.me/+rtoUbEACVBhkODY0,Turkish
Champ | MMA UFC PFL ONE,0,9.60,https://telega.io/channels/champ_ufcES/card,87,50%,--,https://telegram.me/champ_ufcES,Spanish
Neymar jr ( ኔማር ),"2,523",1.20,https://telega.io/channels/A_Neymarjr/card,244,50%,--,https://t.me/A_Neymarjr,English
Records Guinness,"3,891",3.60,https://telega.io/channels/+zYP-Rwi2yxFlYTk5/card,2,50%,--,https://t.me/+zYP-Rwi2yxFlYTk5,Spanish
ማራኪ ስፖርት 24'Highlights,"1,324",2.40,https://telega.io/channels/marakigoals1621/card,14,75%,--,https://t.me/marakigoals1621,Amharic
Girona FC,322,5.99,https://telega.io/channels/Gironafutbolclub/card,233,55%,--,https://t.me/Gironafutbolclub,Spanish
𝙁𝙞𝙣𝙖𝙡𝙡𝙮 𝙎𝙥𝙤𝙧𝙩𝙨 𝙉𝙚𝙬𝙨 ™,0,96.00,https://telega.io/channels/+MExm_W-yRL5jNDM1/card,13,85%,--,https://t.me/+MExm_W-yRL5jNDM1,English
Manchester United Empire,"82,137",60.00,https://telega.io/channels/Empire_MU/card,227,75%,12.2%,https://t.me/Empire_MU,English
Opta Joe,"2,086",6.00,https://telega.io/channels/OptaJoe_stats/card,686,50%,14.2%,https://t.me/OptaJoe_stats,English
⚽️FOOTY MEMES™⚽️,"15,899",240.00,https://telega.io/channels/footy_memess/card,80,50%,6.1%,https://t.me/footy_memess,English
✅Sharing conspiracies that everyone thinks but never says⚽️,"9,450",58.80,https://telega.io/channels/Football_Cons_The/card,250,50%,5.2%,https://t.me/Football_Cons_The,English
